Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1993-01-29,26.32,26.32,26.19,26.3,1003200,0.0,0
1993-02-01,26.32,26.49,26.32,26.49,480500,0.0,0
1993-02-02,26.47,26.56,26.41,26.54,201300,0.0,0
1993-02-03,26.58,26.84,26.56,26.82,529400,0.0,0
1993-02-04,26.92,26.99,26.62,26.94,531500,0.0,0
1993-02-05,26.92,26.97,26.77,26.92,492100,0.0,0
1993-02-08,26.92,27.01,26.88,26.92,596100,0.0,0
1993-02-09,26.82,26.82,26.67,26.73,122100,0.0,0
1993-02-10,26.73,26.79,26.65,26.77,379600,0.0,0
1993-02-11,26.8,27.01,26.8,26.9,19500,0.0,0
1993-02-12,26.86,26.86,26.69,26.69,42500,0.0,0
1993-02-16,26.62,26.62,25.98,26.02,374800,0.0,0
1993-02-17,26.02,26.06,25.91,26.0,210900,0.0,0
1993-02-18,26.3,26.3,25.63,25.98,378100,0.0,0
1993-02-19,25.98,26.07,25.94,26.07,34900,0.0,0
1993-02-22,26.15,26.21,26.07,26.17,513600,0.0,0
1993-02-23,26.24,26.26,26.02,26.15,373700,0.0,0
1993-02-24,26.17,26.49,26.17,26.49,26300,0.0,0
1993-02-25,26.47,26.56,26.41,26.54,44500,0.0,0
1993-02-26,26.6,26.6,26.45,26.58,66200,0.0,0
1993-03-01,26.67,26.67,26.47,26.51,66500,0.0,0
1993-03-02,26.52,26.9,26.49,26.9,182400,0.0,0
1993-03-03,26.94,27.03,26.9,27.01,280100,0.0,0
1993-03-04,27.05,27.05,26.86,26.86,89500,0.0,0
1993-03-05,26.9,27.01,26.77,26.79,40000,0.0,0
1993-03-08,26.84,27.38,26.84,27.38,50800,0.0,0
1993-03-09,27.33,27.35,27.23,27.29,169300,0.0,0
1993-03-10,27.29,27.35,27.18,27.35,194400,0.0,0
1993-03-11,27.37,27.44,27.23,27.27,70900,0.0,0
1993-03-12,27.05,27.07,26.82,26.99,643600,0.0,0
1993-03-15,26.97,27.12,26.97,27.12,310800,0.0,0
1993-03-16,27.12,27.2,27.12,27.12,30800,0.0,0
1993-03-17,27.08,27.08,26.92,26.95,21800,0.0,0
1993-03-18,27.07,27.23,27.07,27.12,59300,0.0,0
1993-03-19,27.23,27.23,27.08,27.08,66900,0.213,0
1993-03-22,26.82,26.99,26.8,26.93,183400,0.0,0
1993-03-23,27.01,27.02,26.95,26.99,55200,0.0,0
1993-03-24,26.95,27.1,26.82,26.99,37200,0.0,0
1993-03-25,27.01,27.21,26.97,27.16,110100,0.0,0
1993-03-26,27.14,27.16,26.99,27.01,101500,0.0,0
1993-03-29,27.02,27.25,27.02,27.12,87100,0.0,0
1993-03-30,27.16,27.19,27.12,27.19,56000,0.0,0
1993-03-31,27.27,27.34,27.18,27.18,111600,0.0,0
1993-04-01,27.21,27.21,27.02,27.08,129500,0.0,0
1993-04-02,26.86,26.86,26.52,26.52,59400,0.0,0
1993-04-05,26.72,26.72,26.57,26.65,172200,0.0,0
1993-04-06,26.71,26.71,26.5,26.57,129700,0.0,0
1993-04-07,26.61,26.67,26.56,26.67,28000,0.0,0
1993-04-08,26.78,26.78,26.52,26.63,180800,0.0,0
1993-04-12,26.89,27.02,26.86,27.01,348500,0.0,0
1993-04-13,26.99,27.16,26.97,27.06,146100,0.0,0
1993-04-14,27.08,27.1,27.01,27.02,119600,0.0,0
1993-04-15,27.01,27.08,26.91,27.02,148600,0.0,0
1993-04-16,27.04,27.08,26.99,27.02,47900,0.0,0
1993-04-19,27.02,27.1,26.89,26.91,157000,0.0,0
1993-04-20,26.87,26.91,26.61,26.78,279500,0.0,0
1993-04-21,26.84,26.84,26.69,26.76,67900,0.0,0
1993-04-22,26.65,26.87,26.42,26.42,97700,0.0,0
1993-04-23,26.37,26.44,26.27,26.31,106000,0.0,0
1993-04-26,26.33,26.42,26.03,26.1,62600,0.0,0
1993-04-27,26.07,26.39,26.07,26.39,156800,0.0,0
1993-04-28,26.35,26.4,26.29,26.33,85900,0.0,0
1993-04-29,26.39,26.44,26.24,26.44,85000,0.0,0
1993-04-30,26.54,26.63,26.48,26.48,88500,0.0,0
1993-05-03,26.52,26.65,26.4,26.65,80500,0.0,0
1993-05-04,26.71,26.84,26.67,26.74,149100,0.0,0
1993-05-05,26.74,26.91,26.74,26.82,109000,0.0,0
1993-05-06,26.78,26.8,26.71,26.72,54700,0.0,0
1993-05-07,26.74,26.74,26.63,26.67,68000,0.0,0
1993-05-10,26.71,26.87,26.71,26.72,113900,0.0,0
1993-05-11,26.72,26.84,26.65,26.84,42600,0.0,0
1993-05-12,26.72,26.82,26.72,26.8,31000,0.0,0
1993-05-13,26.69,26.69,26.46,26.48,129100,0.0,0
1993-05-14,26.48,26.56,26.44,26.46,63500,0.0,0
1993-05-17,26.54,26.56,26.42,26.56,34000,0.0,0
1993-05-18,26.57,26.59,26.44,26.54,105200,0.0,0
1993-05-19,26.54,27.08,26.37,27.08,50200,0.0,0
1993-05-20,27.08,27.16,27.02,27.16,98200,0.0,0
1993-05-21,27.18,27.21,26.89,26.91,221400,0.0,0
1993-05-24,26.97,27.12,26.97,27.02,30500,0.0,0
1993-05-25,27.14,27.14,27.08,27.08,191800,0.0,0
1993-05-26,27.16,27.44,27.14,27.42,102400,0.0,0
1993-05-27,27.46,27.46,27.29,27.33,53800,0.0,0
1993-05-28,27.31,27.31,27.06,27.19,79100,0.0,0
1993-06-01,27.29,27.55,27.25,27.46,28300,0.0,0
1993-06-02,27.38,27.51,27.27,27.42,20300,0.0,0
1993-06-03,27.36,27.36,27.27,27.33,21600,0.0,0
1993-06-04,27.25,27.25,27.12,27.23,32000,0.0,0
1993-06-07,27.29,27.29,27.14,27.14,121400,0.0,0
1993-06-08,27.06,27.06,26.89,26.89,104500,0.0,0
1993-06-09,26.99,27.1,26.95,26.99,43300,0.0,0
1993-06-10,26.97,27.02,26.91,27.01,17900,0.0,0
1993-06-11,27.1,27.16,27.01,27.12,647400,0.0,0
1993-06-14,27.16,27.18,27.08,27.08,64200,0.0,0
1993-06-15,27.12,27.14,27.02,27.02,142400,0.0,0
1993-06-16,27.02,27.08,26.95,27.08,330900,0.0,0
1993-06-17,27.14,27.18,27.08,27.18,37400,0.0,0
1993-06-18,27.16,27.16,26.95,26.95,58500,0.318,0
1993-06-21,27.03,27.03,26.97,27.01,29300,0.0,0
1993-06-22,27.05,27.05,26.99,27.03,137500,0.0,0
1993-06-23,27.03,27.03,26.78,26.78,227600,0.0,0
1993-06-24,26.86,27.14,26.86,27.14,243700,0.0,0
1993-06-25,27.12,27.2,27.1,27.12,44800,0.0,0
1993-06-28,27.25,27.42,27.22,27.42,439900,0.0,0
1993-06-29,27.39,27.39,27.25,27.29,207500,0.0,0
1993-06-30,27.33,27.39,27.25,27.29,437600,0.0,0
1993-07-01,27.33,27.33,27.18,27.22,605700,0.0,0
1993-07-02,27.12,27.14,26.97,27.06,285400,0.0,0
1993-07-06,27.03,27.1,26.74,26.78,246400,0.0,0
1993-07-07,26.76,26.89,26.76,26.86,343700,0.0,0
1993-07-08,26.88,27.22,26.84,27.16,248200,0.0,0
1993-07-09,27.16,27.24,27.1,27.24,378200,0.0,0
1993-07-12,27.2,27.24,27.16,27.22,373700,0.0,0
